,coeffs,curve,bundle,time,splits,h0,h1,SplitIntersections,rho,generic,local-sections-A
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,4,4,10,"[4, -10, -4, 4]",-39,0,"['NA', 'NA', [0, 3], [5, 0]]"
1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,4,6,12,"[2, -10, 8, -6]",-71,0,"[[3, 0], 'NA', 'NA', [0, 5]]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,4,4,10,"[2, -10, 4, -2]",-39,0,"[[3, 0], 'NA', [5, 0], [0, 1]]"
3,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,4,3,9,"[4, -5, -8, 3]",-26,0,"['NA', [0, 4], 'NA', [4, 0]]"
4,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,4,1,7,"[4, -5, -4, -1]",-6,0,"['NA', [0, 4], [0, 3], [0, 0]]"
5,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,3,1,7,"[2, -5, -3]",-6,0,"[[3, 0], [0, 4], [0, 2]]"
6,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,1,7,"[2, -5, -3]",-6,0,"[[3, 0], [0, 4], [0, 2]]"
7,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,6,6,12,"[2, -5, -4, 4, 3, -6]",-71,0,"[[3, 0], [0, 4], [0, 3], [5, 0], [4, 0], [0, 5]]"
8,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,5,4,10,"[2, -5, -4, 4, -3]",-39,0,"[[3, 0], [0, 4], [0, 3], [5, 0], [0, 2]]"
9,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,5,4,10,"[-1, 2, -5, 4, -6]",-39,0,"[[0, 0], [3, 0], [0, 4], [5, 0], [0, 5]]"
10,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,4,4,10,"[2, -5, 4, -7]",-39,0,"[[3, 0], [0, 4], [5, 0], [0, 6]]"
11,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,5,3,9,"[2, -5, -4, 3, -2]",-26,0,"[[3, 0], [0, 4], [0, 3], [4, 0], [0, 1]]"
12,"[0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,4,1,7,"[2, -5, -4, 1]",-6,0,"[[3, 0], [0, 4], [0, 3], [2, 0]]"
13,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,3,1,7,"[2, -5, -3]",-6,0,"[[3, 0], [0, 4], [0, 2]]"
14,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,4,1,7,"[-1, 2, -5, -2]",-6,0,"[[0, 0], [3, 0], [0, 4], [0, 1]]"
15,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,4,7,13,"[-5, 8, 3, -12]",-90,0,"[[0, 4], 'NA', [4, 0], 'NA']"
16,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,3,3,9,"[-5, 4, -5]",-26,0,"[[0, 4], [5, 0], [0, 4]]"
17,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,4,5,11,"[-3, -5, 8, -6]",-54,0,"[[0, 2], [0, 4], 'NA', [0, 5]]"
18,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,3,3,9,"[-5, 4, -5]",-26,0,"[[0, 4], [5, 0], [0, 4]]"
19,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",9,3,2,8,"[-5, 3, -4]",-15,0,"[[0, 4], [4, 0], [0, 2]]"
20,"[0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
21,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
22,"[0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
23,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,5,5,11,"[-2, -5, 4, 3, -6]",-54,0,"[[0, 1], [0, 4], [5, 0], [4, 0], [0, 5]]"
24,"[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,3,3,9,"[-5, 4, -5]",-26,0,"[[0, 4], [5, 0], [0, 4]]"
25,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,4,3,9,"[1, -5, 4, -6]",-26,0,"[[2, 0], [0, 4], [5, 0], [0, 5]]"
26,"[0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,4,3,9,"[-3, -2, -5, 4]",-26,0,"[[0, 2], [0, 1], [0, 4], [5, 0]]"
27,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,2,8,"[-5, 3, -4]",-15,0,"[[0, 4], [4, 0], [0, 2]]"
28,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
29,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
30,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,2,0,6,"[-5, -1]",1,0,"[[0, 4], [0, 0]]"
31,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,4,4,10,"[2, -8, 6, -6]",-39,0,"[[3, 0], 'NA', 'NA', [0, 5]]"
32,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,1,7,"[2, -4, -4]",-6,0,"[[3, 0], [0, 3], [0, 3]]"
33,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,1,7,"[-2, 2, -6]",-6,0,"[[0, 0], [3, 0], [0, 5]]"
34,"[0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
35,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,4,3,9,"[2, -8, 3, -3]",-26,0,"[[3, 0], 'NA', [4, 0], [0, 2]]"
36,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,3,1,7,"[2, -4, -4]",-6,0,"[[3, 0], [0, 3], [0, 3]]"
37,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
38,"[0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
39,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,5,3,9,"[-1, 2, -4, 3, -6]",-26,0,"[[0, 0], [3, 0], [0, 3], [4, 0], [0, 5]]"
40,"[0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,3,1,7,"[2, -4, -4]",-6,0,"[[3, 0], [0, 3], [0, 3]]"
41,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,3,1,7,"[-2, 2, -6]",-6,0,"[[0, 0], [3, 0], [0, 5]]"
42,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
43,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,4,3,9,"[2, -4, 3, -7]",-26,0,"[[3, 0], [0, 3], [4, 0], [0, 6]]"
44,"[0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,4,1,7,"[-1, 2, -4, -3]",-6,0,"[[0, 0], [3, 0], [0, 3], [0, 2]]"
45,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
46,"[0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,1,7,"[2, -8]",-6,0,"[[3, 0], [0, 7]]"
47,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,3,2,8,"[-3, 3, -6]",-15,0,"[[0, 2], [4, 0], [0, 5]]"
48,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,1,0,6,[-6],1,1,"[[0, 6]]"
49,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
50,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
51,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
52,"[0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
53,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-3, -3]",1,0,"[[0, 2], [0, 2]]"
54,"[0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
55,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,3,2,8,"[-3, 3, -6]",-15,0,"[[0, 2], [4, 0], [0, 5]]"
56,"[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
57,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
58,"[0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
59,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
60,"[0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,1,0,6,[-6],1,1,"[[0, 6]]"
61,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
62,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,2,0,6,"[-3, -3]",1,0,"[[0, 2], [0, 2]]"
63,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,4,6,12,"[-4, 4, 6, -12]",-71,0,"[[0, 3], [5, 0], 'NA', 'NA']"
64,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,3,3,9,"[-4, 4, -6]",-26,0,"[[0, 3], [5, 0], [0, 4]]"
65,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,3,9,"[-4, 4, -6]",-26,0,"[[0, 3], [5, 0], [0, 5]]"
66,"[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
67,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,2,8,"[-4, 3, -5]",-15,0,"[[0, 3], [4, 0], [0, 4]]"
68,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
69,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
70,"[1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
71,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,5,5,11,"[-3, -4, 4, 3, -6]",-54,0,"[[0, 2], [0, 3], [5, 0], [4, 0], [0, 5]]"
72,"[1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,3,3,9,"[-4, 4, -6]",-26,0,"[[0, 3], [5, 0], [0, 4]]"
73,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,3,3,9,"[-4, 4, -6]",-26,0,"[[0, 3], [5, 0], [0, 5]]"
74,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
75,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,2,8,"[-4, 3, -5]",-15,0,"[[0, 3], [4, 0], [0, 4]]"
76,"[1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
77,"[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
78,"[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
79,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,4,5,11,"[-1, 4, 3, -12]",-54,0,"[[0, 0], [5, 0], [4, 0], 'NA']"
80,"[1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
81,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,3,3,9,"[-4, 4, -6]",-26,0,"[[0, 3], [5, 0], [0, 5]]"
82,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
83,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
84,"[1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-1, -5]",1,0,"[[0, 0], [0, 4]]"
85,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
86,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,1,0,6,[-6],1,1,"[[0, 6]]"
87,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,4,5,11,"[-7, 4, 3, -6]",-54,0,"[[0, 6], [5, 0], [4, 0], [0, 5]]"
88,"[1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
89,"[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,4,3,9,"[-1, -3, 4, -6]",-26,0,"[[0, 0], [0, 2], [5, 0], [0, 5]]"
90,"[1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,2,3,9,"[4, -10]",-26,0,"[[5, 0], [0, 9]]"
91,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
92,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
93,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
94,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-1, -5]",1,0,"[[0, 0], [0, 4]]"
95,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",10,4,3,9,"[-2, -4, 6, -6]",-26,0,"[[0, 1], [0, 3], 'NA', [0, 5]]"
96,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
97,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
98,"[1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
99,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,3,2,8,"[-4, 3, -5]",-15,0,"[[0, 3], [4, 0], [0, 4]]"
100,"[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
101,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,1,0,6,[-6],1,1,"[[0, 6]]"
102,"[1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
103,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,4,2,8,"[1, -4, 3, -6]",-15,0,"[[2, 0], [0, 3], [4, 0], [0, 5]]"
104,"[1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
105,"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
106,"[1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
107,"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,4,2,8,"[-3, -2, -4, 3]",-15,0,"[[0, 2], [0, 1], [0, 3], [4, 0]]"
108,"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",16,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
109,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",19,1,0,6,[-6],1,1,"[[0, 6]]"
110,"[1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",16,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
111,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",16,3,2,8,"[-3, 3, -6]",-15,0,"[[0, 2], [4, 0], [0, 5]]"
112,"[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",11,1,0,6,[-6],1,1,"[[0, 6]]"
113,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
114,"[1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,1,0,6,[-6],1,1,"[[0, 6]]"
115,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",12,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
116,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
117,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,1,0,6,[-6],1,1,"[[0, 6]]"
118,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",17,1,0,6,[-6],1,1,"[[0, 6]]"
119,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,4,2,8,"[-1, -2, 3, -6]",-15,0,"[[0, 0], [0, 1], [4, 0], [0, 5]]"
120,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",16,1,0,6,[-6],1,1,"[[0, 6]]"
121,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,0,6,"[0, -6]",1,0,"[[1, 0], [0, 5]]"
122,"[1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,2,0,6,"[-4, -2]",1,0,"[[0, 3], [0, 1]]"
123,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,2,8,"[3, -9]",-15,0,"[[4, 0], [0, 8]]"
124,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",15,2,0,6,"[-1, -5]",1,0,"[[0, 0], [0, 4]]"
125,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",14,2,0,6,"[-3, -3]",1,0,"[[0, 2], [0, 2]]"
126,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, -1, -1, -1]","[1, -3, -4, -2]",13,1,0,6,[-6],1,1,"[[0, 6]]"
